type,gene_id,gene_type,gene_name
gene,ENSG00000287586,lncRNA,ENSG00000287586
gene,ENSG00000284739,lncRNA,ENSG00000284739
gene,ENSG00000284674,lncRNA,LINC02781
gene,ENSG00000231510,lncRNA,LINC02782
gene,ENSG00000284616,lncRNA,ENSG00000284616
gene,ENSG00000284692,lncRNA,ENSG00000284692
gene,ENSG00000284666,lncRNA,ENSG00000284666
gene,ENSG00000260972,lncRNA,ENSG00000260972
gene,ENSG00000283356,unprocessed_pseudogene,ENSG00000283356
gene,ENSG00000236948,lncRNA,ENSG00000236948
gene,ENSG00000264341,miRNA,ENSG00000264341
gene,ENSG00000289893,lncRNA,ENSG00000289893
gene,ENSG00000264101,miRNA,MIR4689
gene,ENSG00000131697,protein_coding,NPHP4
gene,ENSG00000069424,protein_coding,KCNAB2
gene,ENSG00000116254,protein_coding,CHD5
gene,ENSG00000285629,protein_coding,ENSG00000285629
gene,ENSG00000116251,protein_coding,RPL22
gene,ENSG00000226944,lncRNA,RNF207-AS1
gene,ENSG00000158286,protein_coding,RNF207
gene,ENSG00000116237,protein_coding,ICMT
gene,ENSG00000225077,lncRNA,ICMT-DT
gene,ENSG00000173673,protein_coding,HES3
gene,ENSG00000158292,protein_coding,GPR153
gene,ENSG00000097021,protein_coding,ACOT7
gene,ENSG00000271746,lncRNA,ENSG00000271746
gene,ENSG00000069812,protein_coding,HES2
gene,ENSG00000187017,protein_coding,ESPN
gene,ENSG00000265392,miRNA,MIR4252
gene,ENSG00000231868,lncRNA,ENSG00000231868
gene,ENSG00000215788,protein_coding,TNFRSF25
gene,ENSG00000171680,protein_coding,PLEKHG5
gene,ENSG00000162408,protein_coding,NOL9
gene,ENSG00000253022,snRNA,RNU6-731P
gene,ENSG00000229519,processed_pseudogene,ENSG00000229519
gene,ENSG00000173662,protein_coding,TAS1R1
gene,ENSG00000204859,protein_coding,ZBTB48
gene,ENSG00000162413,protein_coding,KLHL21
gene,ENSG00000116273,protein_coding,PHF13
gene,ENSG00000041988,protein_coding,THAP3
gene,ENSG00000007923,protein_coding,DNAJC11
gene,ENSG00000228750,lncRNA,LINC01672
gene,ENSG00000284744,lncRNA,ENSG00000284744
gene,ENSG00000237436,lncRNA,CAMTA1-DT
gene,ENSG00000171735,protein_coding,CAMTA1
gene,ENSG00000227950,processed_pseudogene,ENSG00000227950
gene,ENSG00000237365,lncRNA,ENSG00000237365
gene,ENSG00000207056,snRNA,RNU1-8P
gene,ENSG00000237402,lncRNA,CAMTA1-IT1
gene,ENSG00000237728,lncRNA,CAMTA1-AS2
gene,ENSG00000225126,lncRNA,CAMTA1-AS1
gene,ENSG00000270171,lncRNA,ENSG00000270171
gene,ENSG00000270035,lncRNA,ENSG00000270035
gene,ENSG00000269978,lncRNA,ENSG00000269978
gene,ENSG00000049245,protein_coding,VAMP3
gene,ENSG00000269925,lncRNA,ENSG00000269925
gene,ENSG00000049246,protein_coding,PER3
gene,ENSG00000236266,lncRNA,ENSG00000236266
gene,ENSG00000049247,protein_coding,UTS2
gene,ENSG00000049249,protein_coding,TNFRSF9
gene,ENSG00000270330,processed_pseudogene,ENSG00000270330
gene,ENSG00000116288,protein_coding,PARK7
gene,ENSG00000200344,misc_RNA,Y_RNA
gene,ENSG00000284747,lncRNA,ENSG00000284747
gene,ENSG00000284716,lncRNA,ENSG00000284716
gene,ENSG00000116285,protein_coding,ERRFI1
gene,ENSG00000238290,lncRNA,ERRFI1-DT
gene,ENSG00000232848,processed_pseudogene,RPL7AP18
gene,ENSG00000229305,processed_pseudogene,ENSG00000229305
gene,ENSG00000288816,lncRNA,ENSG00000288816
gene,ENSG00000227634,lncRNA,LINC01714
gene,ENSG00000200975,snRNA,RNU1-7P
gene,ENSG00000233645,lncRNA,ENSG00000233645
gene,ENSG00000251977,snRNA,RNU6-991P
gene,ENSG00000162426,protein_coding,SLC45A1
gene,ENSG00000142599,protein_coding,RERE
gene,ENSG00000232912,lncRNA,RERE-AS1
gene,ENSG00000221083,snoRNA,ENSG00000221083
gene,ENSG00000270282,processed_pseudogene,ENSG00000270282
gene,ENSG00000234619,processed_pseudogene,RPL7P11
gene,ENSG00000224315,processed_pseudogene,RPL7P7
gene,ENSG00000226545,unprocessed_pseudogene,ENSG00000226545
gene,ENSG00000228423,lncRNA,ENSG00000228423
gene,ENSG00000229716,processed_pseudogene,RPL23AP19
gene,ENSG00000074800,protein_coding,ENO1
gene,ENSG00000274258,miRNA,MIR6728
gene,ENSG00000230679,lncRNA,ENO1-AS1
gene,ENSG00000201725,snRNA,RNU6-304P
gene,ENSG00000238249,processed_pseudogene,HMGN2P17
gene,ENSG00000232208,processed_pseudogene,ENSG00000232208
gene,ENSG00000232663,processed_pseudogene,ENSG00000232663
gene,ENSG00000131686,protein_coding,CA6
gene,ENSG00000290109,lncRNA,ENSG00000290109
gene,ENSG00000265141,misc_RNA,RN7SL451P
gene,ENSG00000197241,protein_coding,SLC2A7
gene,ENSG00000142583,protein_coding,SLC2A5
gene,ENSG00000252404,scaRNA,ENSG00000252404
gene,ENSG00000180758,protein_coding,GPR157
gene,ENSG00000228526,lncRNA,MIR34AHG
gene,ENSG00000284357,miRNA,MIR34A
gene,ENSG00000289914,lncRNA,ENSG00000289914
gene,ENSG00000234546,lncRNA,LNCTAM34A
gene,ENSG00000049239,protein_coding,H6PD
gene,ENSG00000171621,protein_coding,SPSB1
gene,ENSG00000284652,lncRNA,ENSG00000284652
gene,ENSG00000284693,lncRNA,LINC02606
gene,ENSG00000252956,rRNA_pseudogene,RNA5SP40
gene,ENSG00000235263,lncRNA,ENSG00000235263
gene,ENSG00000171612,protein_coding,SLC25A33
gene,ENSG00000231181,processed_pseudogene,ENSG00000231181
gene,ENSG00000188807,protein_coding,TMEM201
gene,ENSG00000171608,protein_coding,PIK3CD
gene,ENSG00000179840,lncRNA,PIK3CD-AS1
gene,ENSG00000233268,processed_pseudogene,ENSG00000233268
gene,ENSG00000231789,lncRNA,PIK3CD-AS2
gene,ENSG00000171603,protein_coding,CLSTN1
gene,ENSG00000271264,processed_pseudogene,MZT1P1
gene,ENSG00000280113,TEC,ENSG00000280113
gene,ENSG00000178585,protein_coding,CTNNBIP1
gene,ENSG00000223989,lncRNA,ENSG00000223989
gene,ENSG00000285701,lncRNA,ENSG00000285701
gene,ENSG00000162441,protein_coding,LZIC
gene,ENSG00000228150,lncRNA,ENSG00000228150
gene,ENSG00000173614,protein_coding,NMNAT1
gene,ENSG00000202415,misc_RNA,RN7SKP269
gene,ENSG00000283611,unitary_pseudogene,TMEM274P
gene,ENSG00000265521,miRNA,MIR5697
gene,ENSG00000241326,lncRNA,ENSG00000241326
gene,ENSG00000162444,protein_coding,RBP7
gene,ENSG00000130939,protein_coding,UBE4B
gene,ENSG00000224340,processed_pseudogene,ENSG00000224340
gene,ENSG00000233623,processed_pseudogene,PGAM1P11
gene,ENSG00000201746,snRNA,RNU6-828P
gene,ENSG00000054523,protein_coding,KIF1B
gene,ENSG00000264881,miRNA,ENSG00000264881
gene,ENSG00000199562,snRNA,RNU6-37P
gene,ENSG00000264501,misc_RNA,RN7SL731P
gene,ENSG00000284735,lncRNA,ENSG00000284735
gene,ENSG00000284642,lncRNA,ENSG00000284642
gene,ENSG00000142657,protein_coding,PGD
gene,ENSG00000271989,lncRNA,ENSG00000271989
gene,ENSG00000251503,protein_coding,CENPS-CORT
gene,ENSG00000175279,protein_coding,CENPS
gene,ENSG00000241563,protein_coding,CORT
gene,ENSG00000160049,protein_coding,DFFA
gene,ENSG00000203469,lncRNA,ENSG00000203469
gene,ENSG00000142655,protein_coding,PEX14
gene,ENSG00000287727,lncRNA,ENSG00000287727
gene,ENSG00000243267,misc_RNA,RN7SL614P
gene,ENSG00000130940,protein_coding,CASZ1
gene,ENSG00000272078,lncRNA,ENSG00000272078
gene,ENSG00000225158,processed_pseudogene,HSPE1P24
gene,ENSG00000175262,protein_coding,C1orf127
gene,ENSG00000215785,processed_pseudogene,CFL1P6
gene,ENSG00000120948,protein_coding,TARDBP
gene,ENSG00000009724,protein_coding,MASP2
gene,ENSG00000116649,protein_coding,SRM
gene,ENSG00000171824,protein_coding,EXOSC10
gene,ENSG00000226849,lncRNA,ENSG00000226849
gene,ENSG00000230337,lncRNA,EXOSC10-AS1
gene,ENSG00000198793,protein_coding,MTOR
gene,ENSG00000225602,lncRNA,MTOR-AS1
gene,ENSG00000253086,snRNA,RNU6-537P
gene,ENSG00000171819,protein_coding,ANGPTL7
gene,ENSG00000207451,snRNA,RNU6-291P
gene,ENSG00000238173,processed_pseudogene,RPL39P6
gene,ENSG00000120942,protein_coding,UBIAD1
gene,ENSG00000238199,processed_pseudogene,UBE2V2P3
gene,ENSG00000284646,lncRNA,ENSG00000284646
gene,ENSG00000224338,processed_pseudogene,MTCYBP45
gene,ENSG00000204624,protein_coding,DISP3
gene,ENSG00000285833,lncRNA,ENSG00000285833
gene,ENSG00000235643,lncRNA,LINC01647
gene,ENSG00000284708,lncRNA,ENSG00000284708
gene,ENSG00000116661,protein_coding,FBXO2
gene,ENSG00000132879,protein_coding,FBXO44
gene,ENSG00000116670,protein_coding,MAD2L2
gene,ENSG00000116663,protein_coding,FBXO6
gene,ENSG00000162490,protein_coding,DRAXIN
gene,ENSG00000177674,protein_coding,AGTRAP
gene,ENSG00000215910,protein_coding,C1orf167
gene,ENSG00000177553,lncRNA,C1orf167-AS1
gene,ENSG00000177000,protein_coding,MTHFR
gene,ENSG00000011021,protein_coding,CLCN6
gene,ENSG00000276470,misc_RNA,ENSG00000276470
gene,ENSG00000278852,misc_RNA,ENSG00000278852
gene,ENSG00000175206,protein_coding,NPPA
gene,ENSG00000275915,misc_RNA,ENSG00000275915
gene,ENSG00000120937,protein_coding,NPPB
gene,ENSG00000224904,processed_pseudogene,SBF1P2
gene,ENSG00000285646,lncRNA,ENSG00000285646
gene,ENSG00000199347,snRNA,RNU5E-1
gene,ENSG00000201801,snRNA,RNU5E-4P
gene,ENSG00000116685,protein_coding,KIAA2013
gene,ENSG00000083444,protein_coding,PLOD1
gene,ENSG00000287384,lncRNA,ENSG00000287384
gene,ENSG00000116688,protein_coding,MFN2
gene,ENSG00000270914,processed_pseudogene,ENSG00000270914
gene,ENSG00000116691,protein_coding,MIIP
gene,ENSG00000276869,miRNA,MIR6729
gene,ENSG00000243539,misc_RNA,RN7SL649P
gene,ENSG00000120949,protein_coding,TNFRSF8
gene,ENSG00000201135,snRNA,RNU6-777P
gene,ENSG00000227875,processed_pseudogene,RPL23AP89
gene,ENSG00000285604,lncRNA,ENSG00000285604
gene,ENSG00000283789,miRNA,MIR7846
gene,ENSG00000028137,protein_coding,TNFRSF1B
gene,ENSG00000263676,miRNA,MIR4632
gene,ENSG00000225196,processed_pseudogene,RPL10P17
gene,ENSG00000252969,snoRNA,SNORA70
gene,ENSG00000048707,protein_coding,VPS13D
gene,ENSG00000239149,snoRNA,SNORA59A
gene,ENSG00000229484,lncRNA,LINC02766
gene,ENSG00000162496,protein_coding,DHRS3
gene,ENSG00000221340,snRNA,RNU6ATAC18P
gene,ENSG00000276830,miRNA,MIR6730
gene,ENSG00000288927,lncRNA,ENSG00000288927
gene,ENSG00000272482,lncRNA,ENSG00000272482
gene,ENSG00000204518,protein_coding,AADACL4
gene,ENSG00000226166,processed_pseudogene,ENSG00000226166
gene,ENSG00000188984,protein_coding,AADACL3
gene,ENSG00000157330,protein_coding,CFAP107
gene,ENSG00000116726,protein_coding,PRAMEF12
gene,ENSG00000116721,protein_coding,PRAMEF1
gene,ENSG00000228338,lncRNA,LINC01784
gene,ENSG00000239810,protein_coding,PRAMEF11
gene,ENSG00000231103,unprocessed_pseudogene,PRAMEF30P
gene,ENSG00000179172,protein_coding,HNRNPCL1
gene,ENSG00000120952,protein_coding,PRAMEF2
gene,ENSG00000243073,protein_coding,PRAMEF4
gene,ENSG00000187545,protein_coding,PRAMEF10
gene,ENSG00000204510,protein_coding,PRAMEF7
gene,ENSG00000207434,snRNA,RNU6-1072P
gene,ENSG00000234064,unprocessed_pseudogene,PRAMEF29P
gene,ENSG00000232423,protein_coding,PRAMEF6
gene,ENSG00000274178,unprocessed_pseudogene,PRAMEF28P
gene,ENSG00000274764,protein_coding,PRAMEF27
gene,ENSG00000277058,protein_coding,HNRNPCL3
gene,ENSG00000229571,protein_coding,PRAMEF25
gene,ENSG00000277862,unprocessed_pseudogene,PRAMEF34P
gene,ENSG00000236179,unprocessed_pseudogene,PRAMEF35P
gene,ENSG00000275774,protein_coding,HNRNPCL2
gene,ENSG00000229978,transcribed_unprocessed_pseudogene,PRAMEF36P
gene,ENSG00000290772,lncRNA,ENSG00000290772
gene,ENSG00000233336,lncRNA,ENSG00000233336
gene,ENSG00000280267,protein_coding,PRAMEF26
gene,ENSG00000179412,protein_coding,HNRNPCL4
gene,ENSG00000204505,protein_coding,PRAMEF9
gene,ENSG00000279169,protein_coding,PRAMEF13
gene,ENSG00000279804,protein_coding,PRAMEF18
gene,ENSG00000250894,unprocessed_pseudogene,PRAMEF31P
gene,ENSG00000270601,protein_coding,PRAMEF5
gene,ENSG00000231219,unprocessed_pseudogene,PRAMEF32P
gene,ENSG00000207511,snRNA,RNU6-771P
gene,ENSG00000182330,protein_coding,PRAMEF8
gene,ENSG00000237700,protein_coding,PRAMEF33
gene,ENSG00000204501,protein_coding,PRAMEF15
gene,ENSG00000228229,lncRNA,ENSG00000228229
gene,ENSG00000204481,protein_coding,PRAMEF14
gene,ENSG00000204480,protein_coding,PRAMEF19
gene,ENSG00000204479,protein_coding,PRAMEF17
gene,ENSG00000204478,protein_coding,PRAMEF20
gene,ENSG00000162494,protein_coding,LRRC38
gene,ENSG00000259961,lncRNA,ENSG00000259961
gene,ENSG00000215909,processed_pseudogene,BRWD1P1
gene,ENSG00000162493,protein_coding,PDPN
gene,ENSG00000222952,rRNA_pseudogene,RNA5SP41
gene,ENSG00000237445,lncRNA,ENSG00000237445
gene,ENSG00000253085,scaRNA,ENSG00000253085
gene,ENSG00000116731,protein_coding,PRDM2
gene,ENSG00000289380,lncRNA,ENSG00000289380
gene,ENSG00000189337,protein_coding,KAZN
gene,ENSG00000252151,snRNA,RNU6-1265P
gene,ENSG00000231606,lncRNA,ENSG00000231606
gene,ENSG00000234593,lncRNA,KAZN-AS1
gene,ENSG00000235829,processed_pseudogene,TBCAP2
gene,ENSG00000287756,lncRNA,ENSG00000287756
gene,ENSG00000175147,lncRNA,TMEM51-AS1
gene,ENSG00000171729,protein_coding,TMEM51
gene,ENSG00000204464,lncRNA,TMEM51-AS2
gene,ENSG00000215720,processed_pseudogene,MFFP1
gene,ENSG00000278480,processed_pseudogene,ZBTB2P1
gene,ENSG00000142621,protein_coding,FHAD1
gene,ENSG00000233485,lncRNA,FHAD1-AS1
gene,ENSG00000236045,lncRNA,ENSG00000236045
gene,ENSG00000228140,lncRNA,EFHD2-AS1
gene,ENSG00000142634,protein_coding,EFHD2
gene,ENSG00000162438,protein_coding,CTRC
gene,ENSG00000142615,protein_coding,CELA2A
gene,ENSG00000215704,protein_coding,CELA2B
gene,ENSG00000132906,protein_coding,CASP9
gene,ENSG00000116138,protein_coding,DNAJC16
gene,ENSG00000251866,scaRNA,SCARNA21B
gene,ENSG00000272510,lncRNA,ENSG00000272510
gene,ENSG00000116771,protein_coding,AGMAT
gene,ENSG00000237301,lncRNA,ENSG00000237301
gene,ENSG00000235084,processed_pseudogene,CHCHD2P6
gene,ENSG00000252417,snRNA,RNU7-179P
gene,ENSG00000236500,processed_pseudogene,CD24P1
gene,ENSG00000197312,protein_coding,DDI2
