type,gene_id,gene_type,gene_name,gene_start,gene_end
gene,ENSG00000241180,lncRNA,ENSG00000241180,914171,914971
gene,ENSG00000223764,lncRNA,LINC02593,916865,921016
gene,ENSG00000187634,protein_coding,SAMD11,923923,944575
gene,ENSG00000188976,protein_coding,NOC2L,944203,959309
gene,ENSG00000187961,protein_coding,KLHL17,960584,965719
gene,ENSG00000187583,protein_coding,PLEKHN1,966482,975865
gene,ENSG00000187642,protein_coding,PERM1,975198,982117
gene,ENSG00000272512,lncRNA,ENSG00000272512,995966,998051
gene,ENSG00000188290,protein_coding,HES4,998962,1000172
gene,ENSG00000187608,protein_coding,ISG15,1001138,1014540
gene,ENSG00000224969,lncRNA,ENSG00000224969,1011997,1013193
gene,ENSG00000188157,protein_coding,AGRN,1020120,1056118
gene,ENSG00000242590,lncRNA,ENSG00000242590,1055033,1056116
gene,ENSG00000291156,lncRNA,ENSG00000291156,1059687,1066459
gene,ENSG00000273443,lncRNA,ENSG00000273443,1062208,1063288
gene,ENSG00000237330,protein_coding,RNF223,1070967,1074306
gene,ENSG00000131591,protein_coding,C1orf159,1081818,1116361
gene,ENSG00000285812,lncRNA,ENSG00000285812,1097585,1104598
gene,ENSG00000223823,lncRNA,LINC01342,1137017,1144056
gene,ENSG00000207730,miRNA,MIR200B,1167104,1167198
gene,ENSG00000207607,miRNA,MIR200A,1167863,1167952
gene,ENSG00000198976,miRNA,MIR429,1169005,1169087
gene,ENSG00000272141,lncRNA,ENSG00000272141,1169357,1170343
gene,ENSG00000205231,lncRNA,TTLL10-AS1,1173056,1179555
gene,ENSG00000162571,protein_coding,TTLL10,1173880,1197936
gene,ENSG00000186891,protein_coding,TNFRSF18,1203508,1206592
gene,ENSG00000186827,protein_coding,TNFRSF4,1211326,1214153
gene,ENSG00000078808,protein_coding,SDF4,1216931,1232031
gene,ENSG00000176022,protein_coding,B3GALT6,1232237,1235041
gene,ENSG00000184163,protein_coding,C1QTNF12,1242446,1246722
gene,ENSG00000260179,lncRNA,ENSG00000260179,1249777,1251334
gene,ENSG00000160087,protein_coding,UBE2J2,1253909,1273864
gene,ENSG00000230415,lncRNA,LINC01786,1275223,1280420
gene,ENSG00000162572,protein_coding,SCNN1D,1280436,1292029
gene,ENSG00000131584,protein_coding,ACAP3,1292390,1309609
gene,ENSG00000278073,miRNA,MIR6726,1296110,1296170
gene,ENSG00000169972,protein_coding,PUSL1,1308597,1311677
gene,ENSG00000127054,protein_coding,INTS11,1311585,1324687
gene,ENSG00000283712,miRNA,MIR6727,1312502,1312566
gene,ENSG00000240731,lncRNA,ENSG00000240731,1317581,1318689
gene,ENSG00000224051,protein_coding,CPTP,1324756,1328896
gene,ENSG00000169962,protein_coding,TAS1R3,1331280,1335314
gene,ENSG00000107404,protein_coding,DVL1,1335276,1349418
gene,ENSG00000284372,miRNA,MIR6808,1339650,1339708
gene,ENSG00000162576,protein_coding,MXRA8,1352689,1361777
gene,ENSG00000175756,protein_coding,AURKAIP1,1373730,1375207
gene,ENSG00000221978,protein_coding,CCNL2,1385711,1399335
gene,ENSG00000224870,lncRNA,MRPL20-AS1,1399515,1402046
gene,ENSG00000242485,protein_coding,MRPL20,1401909,1407293
gene,ENSG00000264293,misc_RNA,RN7SL657P,1405460,1405752
gene,ENSG00000272455,lncRNA,MRPL20-DT,1409096,1410618
gene,ENSG00000235098,protein_coding,ANKRD65,1418420,1421769
gene,ENSG00000225905,lncRNA,ANKRD65-AS1,1420245,1422691
gene,ENSG00000205116,protein_coding,TMEM88B,1425871,1430255
gene,ENSG00000225285,lncRNA,LINC01770,1430539,1434573
gene,ENSG00000179403,protein_coding,VWA1,1434861,1442882
gene,ENSG00000215915,protein_coding,ATAD3C,1449689,1470163
gene,ENSG00000160072,protein_coding,ATAD3B,1471765,1497848
gene,ENSG00000290916,lncRNA,ENSG00000290916,1503250,1509466
gene,ENSG00000197785,protein_coding,ATAD3A,1512162,1534685
gene,ENSG00000205090,protein_coding,TMEM240,1534778,1540624
gene,ENSG00000160075,protein_coding,SSU72,1541673,1574863
gene,ENSG00000215014,lncRNA,ENSG00000215014,1574102,1577075
gene,ENSG00000228594,protein_coding,FNDC10,1598012,1600135
gene,ENSG00000286989,lncRNA,ENSG00000286989,1600314,1602703
gene,ENSG00000272106,lncRNA,ENSG00000272106,1613758,1615795
gene,ENSG00000197530,protein_coding,MIB2,1615454,1630605
gene,ENSG00000189409,protein_coding,MMP23B,1632163,1635263
gene,ENSG00000248333,protein_coding,CDK11B,1635225,1659012
gene,ENSG00000272004,lncRNA,ENSG00000272004,1659325,1662602
gene,ENSG00000189339,protein_coding,SLC35E2B,1659529,1692795
gene,ENSG00000008128,protein_coding,CDK11A,1702379,1724357
gene,ENSG00000268575,lncRNA,ENSG00000268575,1702736,1737688
gene,ENSG00000290854,lncRNA,ENSG00000290854,1724838,1745992
gene,ENSG00000008130,protein_coding,NADK,1751232,1780457
gene,ENSG00000078369,protein_coding,GNB1,1785285,1892292
gene,ENSG00000231050,lncRNA,GNB1-DT,1891223,1892726
gene,ENSG00000169885,protein_coding,CALML6,1915108,1917296
gene,ENSG00000178821,protein_coding,TMEM52,1917590,1919279
gene,ENSG00000142609,protein_coding,CFAP74,1921951,2003837
gene,ENSG00000233542,lncRNA,ENSG00000233542,2013213,2015639
gene,ENSG00000187730,protein_coding,GABRD,2019329,2030758
gene,ENSG00000226969,lncRNA,PRKCZ-DT,2049203,2050070
gene,ENSG00000067606,protein_coding,PRKCZ,2050411,2185395
gene,ENSG00000271806,lncRNA,ENSG00000271806,2141084,2145279
gene,ENSG00000182873,lncRNA,PRKCZ-AS1,2181794,2184389
gene,ENSG00000162585,protein_coding,FAAP20,2184461,2212720
gene,ENSG00000234396,lncRNA,ENSG00000234396,2212523,2220738
gene,ENSG00000157933,protein_coding,SKI,2227388,2310213
gene,ENSG00000287356,lncRNA,ENSG00000287356,2315040,2323085
gene,ENSG00000116151,protein_coding,MORN1,2321253,2391707
gene,ENSG00000272161,lncRNA,ENSG00000272161,2326201,2326693
gene,ENSG00000272420,lncRNA,ENSG00000272420,2363061,2363628
gene,ENSG00000157916,protein_coding,RER1,2391775,2405442
gene,ENSG00000157911,protein_coding,PEX10,2403964,2413797
gene,ENSG00000149527,protein_coding,PLCH2,2425980,2505532
gene,ENSG00000224387,lncRNA,ENSG00000224387,2492300,2493258
gene,ENSG00000229393,lncRNA,ENSG00000229393,2493437,2494479
gene,ENSG00000157881,protein_coding,PANK4,2508537,2526597
gene,ENSG00000197921,protein_coding,HES5,2528745,2530263
gene,ENSG00000272449,lncRNA,ENSG00000272449,2530064,2547471
gene,ENSG00000238164,lncRNA,TNFRSF14-AS1,2549920,2557031
gene,ENSG00000157873,protein_coding,TNFRSF14,2555639,2565382
gene,ENSG00000225931,TEC,ENSG00000225931,2566410,2569888
gene,ENSG00000228037,lncRNA,ENSG00000228037,2581560,2584533
gene,ENSG00000289610,lncRNA,ENSG00000289610,2585610,2586060
gene,ENSG00000157870,protein_coding,PRXL2B,2586491,2591469
gene,ENSG00000142606,protein_coding,MMEL1,2590639,2633016
gene,ENSG00000237058,lncRNA,MMEL1-AS1,2632568,2636620
gene,ENSG00000215912,protein_coding,TTC34,2636986,2801693
gene,ENSG00000285945,lncRNA,ENSG00000285945,2768091,2784733
gene,ENSG00000283259,lncRNA,ENSG00000283259,2773603,2776473
gene,ENSG00000233234,lncRNA,ENSG00000233234,2811850,2812692
gene,ENSG00000287396,lncRNA,ENSG00000287396,2814056,2817767
gene,ENSG00000231630,lncRNA,ENSG00000231630,2814432,2814998
gene,ENSG00000284745,lncRNA,ENSG00000284745,2960658,2968707
gene,ENSG00000169717,protein_coding,ACTRT2,3021467,3022903
gene,ENSG00000177133,lncRNA,PRDM16-DT,3059611,3069091
gene,ENSG00000142611,protein_coding,PRDM16,3069168,3438621
gene,ENSG00000283572,miRNA,MIR4251,3127975,3128035
gene,ENSG00000226286,lncRNA,ENSG00000226286,3132927,3133709
gene,ENSG00000279839,TEC,ENSG00000279839,3205988,3208664
gene,ENSG00000272235,lncRNA,ENSG00000272235,3306636,3310096
gene,ENSG00000287828,lncRNA,ENSG00000287828,3313052,3323149
gene,ENSG00000286518,lncRNA,ENSG00000286518,3367815,3373928
gene,ENSG00000130762,protein_coding,ARHGEF16,3454665,3481113
gene,ENSG00000272088,lncRNA,ENSG00000272088,3487246,3487627
gene,ENSG00000162591,protein_coding,MEGF6,3487951,3611508
gene,ENSG00000207776,miRNA,MIR551A,3560695,3560790
gene,ENSG00000238260,lncRNA,ENSG00000238260,3622857,3624786
gene,ENSG00000158109,protein_coding,TPRG1L,3625015,3630127
gene,ENSG00000116213,protein_coding,WRAP73,3630767,3652761
gene,ENSG00000078900,protein_coding,TP73,3652516,3736201
gene,ENSG00000227589,lncRNA,TP73-AS3,3658938,3668772
gene,ENSG00000235131,lncRNA,TP73-AS2,3712200,3714298
gene,ENSG00000276189,misc_RNA,ENSG00000276189,3736943,3737103
gene,ENSG00000162592,protein_coding,CCDC27,3746460,3771645
gene,ENSG00000235169,protein_coding,SMIM1,3772749,3775982
gene,ENSG00000130764,protein_coding,LRRC47,3778559,3796498
gene,ENSG00000266075,misc_RNA,RN7SL574P,3782815,3783111
gene,ENSG00000272153,lncRNA,ENSG00000272153,3785008,3785538
gene,ENSG00000116198,protein_coding,CEP104,3812086,3857396
gene,ENSG00000169598,protein_coding,DFFB,3857267,3885429
gene,ENSG00000198912,protein_coding,C1orf174,3889125,3900293
gene,ENSG00000236423,lncRNA,LINC01134,3900347,3917225
gene,ENSG00000233304,lncRNA,LINC01346,3940486,3955262
gene,ENSG00000226374,lncRNA,LINC01345,3944547,3949024
gene,ENSG00000284668,lncRNA,LINC02780,3976133,4012704
gene,ENSG00000284703,lncRNA,ENSG00000284703,4012921,4019508
gene,ENSG00000235054,lncRNA,LINC01777,4412027,4424689
gene,ENSG00000284694,lncRNA,ENSG00000284694,4479131,4484375
gene,ENSG00000227169,lncRNA,ENSG00000227169,4551735,4552145
gene,ENSG00000232596,lncRNA,LINC01646,4571481,4594016
gene,ENSG00000196581,protein_coding,AJAP1,4654609,4792534
gene,ENSG00000287586,lncRNA,ENSG00000287586,4730211,4734992
gene,ENSG00000284739,lncRNA,ENSG00000284739,4963954,4973298
gene,ENSG00000284674,lncRNA,LINC02781,4973381,4981568
gene,ENSG00000231510,lncRNA,LINC02782,5086459,5090899
gene,ENSG00000284616,lncRNA,ENSG00000284616,5301928,5307394
gene,ENSG00000284692,lncRNA,ENSG00000284692,5478736,5493057
gene,ENSG00000284666,lncRNA,ENSG00000284666,5480787,5482028
gene,ENSG00000260972,lncRNA,ENSG00000260972,5492978,5494674
gene,ENSG00000236948,lncRNA,ENSG00000236948,5561709,5668295
gene,ENSG00000264341,miRNA,ENSG00000264341,5564071,5564143
gene,ENSG00000289893,lncRNA,ENSG00000289893,5733358,5771453
gene,ENSG00000264101,miRNA,MIR4689,5862672,5862741
gene,ENSG00000131697,protein_coding,NPHP4,5862811,5992473
gene,ENSG00000069424,protein_coding,KCNAB2,5990927,6101193
gene,ENSG00000116254,protein_coding,CHD5,6101787,6180321
gene,ENSG00000285629,protein_coding,ENSG00000285629,6159430,6197757
gene,ENSG00000116251,protein_coding,RPL22,6185020,6209389
gene,ENSG00000226944,lncRNA,RNF207-AS1,6204840,6205780
gene,ENSG00000158286,protein_coding,RNF207,6205475,6221299
gene,ENSG00000116237,protein_coding,ICMT,6221193,6235972
gene,ENSG00000225077,lncRNA,ICMT-DT,6234692,6239444
gene,ENSG00000173673,protein_coding,HES3,6244179,6245578
gene,ENSG00000158292,protein_coding,GPR153,6247353,6261098
gene,ENSG00000097021,protein_coding,ACOT7,6264269,6393767
gene,ENSG00000271746,lncRNA,ENSG00000271746,6393555,6394391
gene,ENSG00000069812,protein_coding,HES2,6412418,6424670
gene,ENSG00000187017,protein_coding,ESPN,6424776,6461367
gene,ENSG00000265392,miRNA,MIR4252,6429834,6429896
gene,ENSG00000231868,lncRNA,ENSG00000231868,6443034,6447006
gene,ENSG00000215788,protein_coding,TNFRSF25,6460786,6466175
gene,ENSG00000171680,protein_coding,PLEKHG5,6467122,6520074
gene,ENSG00000162408,protein_coding,NOL9,6521347,6554513
gene,ENSG00000253022,snRNA,RNU6-731P,6540854,6540964
gene,ENSG00000173662,protein_coding,TAS1R1,6555307,6579755
gene,ENSG00000204859,protein_coding,ZBTB48,6579994,6589280
gene,ENSG00000162413,protein_coding,KLHL21,6590724,6614607
gene,ENSG00000116273,protein_coding,PHF13,6613731,6624030
gene,ENSG00000041988,protein_coding,THAP3,6624868,6635586
gene,ENSG00000007923,protein_coding,DNAJC11,6634168,6701924
gene,ENSG00000228750,lncRNA,LINC01672,6724637,6730012
gene,ENSG00000284744,lncRNA,ENSG00000284744,6767954,6770038
gene,ENSG00000237436,lncRNA,CAMTA1-DT,6783892,6784843
gene,ENSG00000171735,protein_coding,CAMTA1,6785454,7769706
gene,ENSG00000237365,lncRNA,ENSG00000237365,7008376,7014279
gene,ENSG00000207056,snRNA,RNU1-8P,7219360,7219524
gene,ENSG00000237402,lncRNA,CAMTA1-IT1,7368942,7370270
gene,ENSG00000237728,lncRNA,CAMTA1-AS2,7382487,7389754
gene,ENSG00000225126,lncRNA,CAMTA1-AS1,7441096,7441554
gene,ENSG00000270171,lncRNA,ENSG00000270171,7693124,7694844
gene,ENSG00000270035,lncRNA,ENSG00000270035,7698303,7698872
gene,ENSG00000269978,lncRNA,ENSG00000269978,7700704,7700970
gene,ENSG00000049245,protein_coding,VAMP3,7771296,7781432
gene,ENSG00000269925,lncRNA,ENSG00000269925,7776383,7776775
gene,ENSG00000049246,protein_coding,PER3,7784291,7845177
gene,ENSG00000236266,lncRNA,ENSG00000236266,7810242,7827342
gene,ENSG00000049247,protein_coding,UTS2,7843083,7853512
gene,ENSG00000049249,protein_coding,TNFRSF9,7915871,7943165
gene,ENSG00000116288,protein_coding,PARK7,7954291,7985505
gene,ENSG00000200344,misc_RNA,Y_RNA,144087,248595033
gene,ENSG00000284747,lncRNA,ENSG00000284747,7991134,8005312
gene,ENSG00000284716,lncRNA,ENSG00000284716,7998187,7999934
gene,ENSG00000116285,protein_coding,ERRFI1,8004404,8026309
gene,ENSG00000238290,lncRNA,ERRFI1-DT,8026738,8122702
gene,ENSG00000288816,lncRNA,ENSG00000288816,8191692,8194926
gene,ENSG00000227634,lncRNA,LINC01714,8201518,8215210
gene,ENSG00000200975,snRNA,RNU1-7P,8206434,8206597
gene,ENSG00000233645,lncRNA,ENSG00000233645,8218190,8220529
gene,ENSG00000251977,snRNA,RNU6-991P,8292157,8292263
gene,ENSG00000162426,protein_coding,SLC45A1,8318114,8344167
gene,ENSG00000142599,protein_coding,RERE,8352397,8848921
gene,ENSG00000232912,lncRNA,RERE-AS1,8424645,8435013
gene,ENSG00000221083,snoRNA,ENSG00000221083,8511795,8511919
gene,ENSG00000228423,lncRNA,ENSG00000228423,8805860,8807051
gene,ENSG00000074800,protein_coding,ENO1,8861000,8879190
gene,ENSG00000274258,miRNA,MIR6728,8866502,8866590
gene,ENSG00000230679,lncRNA,ENO1-AS1,8878835,8879894
gene,ENSG00000201725,snRNA,RNU6-304P,8883427,8883533
gene,ENSG00000131686,protein_coding,CA6,8945867,8975092
gene,ENSG00000290109,lncRNA,ENSG00000290109,8970490,8971244
gene,ENSG00000265141,misc_RNA,RN7SL451P,8979576,8979874
gene,ENSG00000197241,protein_coding,SLC2A7,9002973,9026423
gene,ENSG00000142583,protein_coding,SLC2A5,9035106,9088478
gene,ENSG00000252404,scaRNA,ENSG00000252404,9082696,9082879
gene,ENSG00000180758,protein_coding,GPR157,9100305,9129102
gene,ENSG00000228526,lncRNA,MIR34AHG,9148011,9198906
gene,ENSG00000284357,miRNA,MIR34A,9151668,9151777
gene,ENSG00000289914,lncRNA,ENSG00000289914,9162322,9162945
gene,ENSG00000234546,lncRNA,LNCTAM34A,9182004,9196284
gene,ENSG00000049239,protein_coding,H6PD,9234774,9271337
gene,ENSG00000171621,protein_coding,SPSB1,9292894,9369532
gene,ENSG00000284652,lncRNA,ENSG00000284652,9421098,9422862
gene,ENSG00000284693,lncRNA,LINC02606,9425094,9440564
gene,ENSG00000235263,lncRNA,ENSG00000235263,9501092,9503471
gene,ENSG00000171612,protein_coding,SLC25A33,9539465,9585173
gene,ENSG00000188807,protein_coding,TMEM201,9588911,9614877
gene,ENSG00000171608,protein_coding,PIK3CD,9629889,9729114
gene,ENSG00000179840,lncRNA,PIK3CD-AS1,9652610,9654586
gene,ENSG00000231789,lncRNA,PIK3CD-AS2,9672405,9687583
gene,ENSG00000171603,protein_coding,CLSTN1,9728926,9823984
gene,ENSG00000280113,TEC,ENSG00000280113,9826289,9828271
gene,ENSG00000178585,protein_coding,CTNNBIP1,9848276,9910336
gene,ENSG00000223989,lncRNA,ENSG00000223989,9848318,9850154
gene,ENSG00000285701,lncRNA,ENSG00000285701,9900614,9908034
gene,ENSG00000162441,protein_coding,LZIC,9922113,9943407
gene,ENSG00000228150,lncRNA,ENSG00000228150,9942923,9949974
gene,ENSG00000173614,protein_coding,NMNAT1,9943428,9985501
gene,ENSG00000202415,misc_RNA,RN7SKP269,9947318,9947636
gene,ENSG00000265521,miRNA,MIR5697,9967381,9967458
gene,ENSG00000241326,lncRNA,ENSG00000241326,9983141,9984568
gene,ENSG00000162444,protein_coding,RBP7,9997206,10016021
gene,ENSG00000130939,protein_coding,UBE4B,10032832,10181239
gene,ENSG00000201746,snRNA,RNU6-828P,10163268,10163374
gene,ENSG00000054523,protein_coding,KIF1B,10210570,10381603
gene,ENSG00000264881,miRNA,ENSG00000264881,10227718,10227803
gene,ENSG00000199562,snRNA,RNU6-37P,10298966,10299072
gene,ENSG00000264501,misc_RNA,RN7SL731P,10306465,10306757
gene,ENSG00000284735,lncRNA,ENSG00000284735,10381906,10387150
gene,ENSG00000284642,lncRNA,ENSG00000284642,10395416,10397432
gene,ENSG00000142657,protein_coding,PGD,10398592,10420511
gene,ENSG00000271989,lncRNA,ENSG00000271989,10429881,10430677
gene,ENSG00000251503,protein_coding,CENPS-CORT,10430102,10452153
gene,ENSG00000175279,protein_coding,CENPS,10430433,10442808
gene,ENSG00000241563,protein_coding,CORT,10450031,10451998
gene,ENSG00000160049,protein_coding,DFFA,10456522,10472529
gene,ENSG00000203469,lncRNA,ENSG00000203469,10458555,10459338
gene,ENSG00000142655,protein_coding,PEX14,10472288,10630758
gene,ENSG00000287727,lncRNA,ENSG00000287727,10612222,10616452
gene,ENSG00000243267,misc_RNA,RN7SL614P,10616836,10617115
gene,ENSG00000130940,protein_coding,CASZ1,10636604,10796650
gene,ENSG00000272078,lncRNA,ENSG00000272078,10639241,10654333
gene,ENSG00000175262,protein_coding,C1orf127,10946471,10982076
gene,ENSG00000120948,protein_coding,TARDBP,11012344,11030528
gene,ENSG00000009724,protein_coding,MASP2,11022009,11047239
gene,ENSG00000116649,protein_coding,SRM,11054584,11060020
gene,ENSG00000171824,protein_coding,EXOSC10,11066618,11099869
gene,ENSG00000226849,lncRNA,ENSG00000226849,11068471,11073097
gene,ENSG00000230337,lncRNA,EXOSC10-AS1,11099430,11102105
gene,ENSG00000198793,protein_coding,MTOR,11106535,11262556
gene,ENSG00000225602,lncRNA,MTOR-AS1,11143898,11149537
gene,ENSG00000253086,snRNA,RNU6-537P,11152350,11152452
gene,ENSG00000171819,protein_coding,ANGPTL7,11189355,11195981
gene,ENSG00000207451,snRNA,RNU6-291P,11226254,11226360
gene,ENSG00000120942,protein_coding,UBIAD1,11273198,11296049
gene,ENSG00000284646,lncRNA,ENSG00000284646,11311734,11319093
gene,ENSG00000204624,protein_coding,DISP3,11479155,11537551
gene,ENSG00000285833,lncRNA,ENSG00000285833,11500803,11502016
gene,ENSG00000235643,lncRNA,LINC01647,11609468,11613358
gene,ENSG00000284708,lncRNA,ENSG00000284708,11623558,11643416
gene,ENSG00000116661,protein_coding,FBXO2,11637018,11655785
gene,ENSG00000132879,protein_coding,FBXO44,11654375,11663327
gene,ENSG00000116670,protein_coding,MAD2L2,11658918,11691811
gene,ENSG00000116663,protein_coding,FBXO6,11664200,11674354
gene,ENSG00000162490,protein_coding,DRAXIN,11691710,11725857
gene,ENSG00000177674,protein_coding,AGTRAP,11736084,11754802
gene,ENSG00000215910,protein_coding,C1orf167,11761787,11789585
gene,ENSG00000177553,lncRNA,C1orf167-AS1,11777077,11779619
gene,ENSG00000177000,protein_coding,MTHFR,11785723,11806455
gene,ENSG00000011021,protein_coding,CLCN6,11806096,11848079
gene,ENSG00000276470,misc_RNA,ENSG00000276470,11843812,11843984
gene,ENSG00000278852,misc_RNA,ENSG00000278852,11845549,11845697
gene,ENSG00000175206,protein_coding,NPPA,11845709,11848345
gene,ENSG00000275915,misc_RNA,ENSG00000275915,11847442,11847549
gene,ENSG00000120937,protein_coding,NPPB,11857464,11858945
gene,ENSG00000285646,lncRNA,ENSG00000285646,11907940,11914298
gene,ENSG00000199347,snRNA,RNU5E-1,11908152,11908271
gene,ENSG00000201801,snRNA,RNU5E-4P,11909808,11909927
gene,ENSG00000116685,protein_coding,KIAA2013,11919591,11926428
gene,ENSG00000083444,protein_coding,PLOD1,11934205,11975538
gene,ENSG00000287384,lncRNA,ENSG00000287384,11979533,11980127
gene,ENSG00000116688,protein_coding,MFN2,11980181,12015211
gene,ENSG00000116691,protein_coding,MIIP,12019466,12032045
gene,ENSG00000276869,miRNA,MIR6729,12029158,12029222
gene,ENSG00000243539,misc_RNA,RN7SL649P,12036740,12037014
gene,ENSG00000120949,protein_coding,TNFRSF8,12063303,12144207
gene,ENSG00000201135,snRNA,RNU6-777P,12077881,12077984
gene,ENSG00000285604,lncRNA,ENSG00000285604,12088441,12092264
gene,ENSG00000283789,miRNA,MIR7846,12166943,12167038
gene,ENSG00000028137,protein_coding,TNFRSF1B,12166991,12209228
gene,ENSG00000263676,miRNA,MIR4632,12191713,12191773
gene,ENSG00000252969,snoRNA,SNORA70,3025434,202527427
gene,ENSG00000048707,protein_coding,VPS13D,12230030,12512047
gene,ENSG00000239149,snoRNA,SNORA59A,12507246,12507397
gene,ENSG00000229484,lncRNA,LINC02766,12525716,12530691
gene,ENSG00000162496,protein_coding,DHRS3,12567910,12618210
gene,ENSG00000221340,snRNA,RNU6ATAC18P,12569972,12570072
gene,ENSG00000276830,miRNA,MIR6730,12578957,12579023
gene,ENSG00000288927,lncRNA,ENSG00000288927,12618389,12618987
gene,ENSG00000272482,lncRNA,ENSG00000272482,12618900,12619980
gene,ENSG00000204518,protein_coding,AADACL4,12644085,12667076
gene,ENSG00000188984,protein_coding,AADACL3,12716110,12728760
gene,ENSG00000157330,protein_coding,CFAP107,12746200,12763699
gene,ENSG00000116726,protein_coding,PRAMEF12,12773738,12777906
gene,ENSG00000116721,protein_coding,PRAMEF1,12791397,12796628
gene,ENSG00000228338,lncRNA,LINC01784,12822686,12823159
gene,ENSG00000239810,protein_coding,PRAMEF11,12824605,12831410
gene,ENSG00000179172,protein_coding,HNRNPCL1,12847377,12848720
gene,ENSG00000120952,protein_coding,PRAMEF2,12857086,12861909
gene,ENSG00000243073,protein_coding,PRAMEF4,12879212,12886201
gene,ENSG00000187545,protein_coding,PRAMEF10,12892896,12898270
gene,ENSG00000204510,protein_coding,PRAMEF7,12916610,12920751
gene,ENSG00000207434,snRNA,RNU6-1072P,12922554,12922660
gene,ENSG00000232423,protein_coding,PRAMEF6,12938472,12947580
gene,ENSG00000274764,protein_coding,PRAMEF27,13049476,13056575
gene,ENSG00000277058,protein_coding,HNRNPCL3,13060769,13062878
gene,ENSG00000229571,protein_coding,PRAMEF25,13068677,13077884
gene,ENSG00000275774,protein_coding,HNRNPCL2,13115488,13116854
gene,ENSG00000290772,lncRNA,ENSG00000290772,13129793,13131409
gene,ENSG00000233336,lncRNA,ENSG00000233336,13146981,13147460
gene,ENSG00000280267,protein_coding,PRAMEF26,13148905,13158116
gene,ENSG00000179412,protein_coding,HNRNPCL4,13163914,13165631
gene,ENSG00000204505,protein_coding,PRAMEF9,13171848,13179459
gene,ENSG00000279169,protein_coding,PRAMEF13,13196188,13201409
gene,ENSG00000279804,protein_coding,PRAMEF18,13222695,13226154
gene,ENSG00000270601,protein_coding,PRAMEF5,13254198,13263435
gene,ENSG00000207511,snRNA,RNU6-771P,13279125,13279231
gene,ENSG00000182330,protein_coding,PRAMEF8,13281304,13285137
gene,ENSG00000237700,protein_coding,PRAMEF33,13303539,13308907
gene,ENSG00000204501,protein_coding,PRAMEF15,13315581,13322598
gene,ENSG00000228229,lncRNA,ENSG00000228229,13324039,13324518
gene,ENSG00000204481,protein_coding,PRAMEF14,13341892,13347134
gene,ENSG00000204480,protein_coding,PRAMEF19,13368431,13371947
gene,ENSG00000204479,protein_coding,PRAMEF17,13389632,13392629
gene,ENSG00000204478,protein_coding,PRAMEF20,13410450,13421328
gene,ENSG00000162494,protein_coding,LRRC38,13474973,13514003
gene,ENSG00000259961,lncRNA,ENSG00000259961,13513220,13516270
gene,ENSG00000162493,protein_coding,PDPN,13583465,13617957
gene,ENSG00000237445,lncRNA,ENSG00000237445,13657311,13659910
gene,ENSG00000253085,scaRNA,ENSG00000253085,13696070,13696199
gene,ENSG00000116731,protein_coding,PRDM2,13700188,13825079
gene,ENSG00000289380,lncRNA,ENSG00000289380,13757778,13758465
gene,ENSG00000189337,protein_coding,KAZN,13892792,15118043
gene,ENSG00000252151,snRNA,RNU6-1265P,14124233,14124335
